plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6814582,2.58,MLG,MLG,MLG,MLG_MLG_MLG,0.799199785268999,1562.5061689690956,0.7944983763123241
6814583,1.5,MLG,MLG,MLG,MLG_MLG_MLG,0.8510474269975598,1686.8770524410056,0.8577381042195463
6814596,2.28,MLG,MLG,MLG,MLG_MLG_MLG,0.857396042248907,1661.850494282745,0.8453873460289187
6814621,0.81,PTR,PTR,PTR,PTR_PTR_PTR,0.4171726503981953,801.4017691686154,0.4023896972288319
6814667,3.36,MLG,MLG,MLG,MLG_MLG_MLG,0.812150491742781,1546.0436659598847,0.7864761337479705
6814710,1.5,PTR,PTR,PTR,PTR_PTR_PTR,0.6325983799615531,1178.4543983501303,0.6096214448929022
6814715,2.45,BTH,BTH,MIS,BTH_BTH_MIS,0.24430179572890912,599.4090470897079,0.3014630761590663
6814716,2.08,BTH,MIS,BTH,BTH_MIS_BTH,0.23704003867557244,655.8729467782296,0.329860680390574
6814717,2.87,BTH,TRN,BTH,BTH_TRN_BTH,0.17873762438207622,491.69101936722643,0.24733697396567325
6814718,1.02,BTH,MIS,BTH,BTH_MIS_BTH,0.17665786407522197,499.7316900447045,0.25133196315019785
6814720,0.89,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.6688759841014406,1421.4421057415313,0.7148912947834294
6814723,8.17,BTH,BTH,TRN,BTH_BTH_TRN,0.28272150617321123,695.8553007223564,0.35576873887172594
6814725,7.29,BTH,MIS,BTH,BTH_MIS_BTH,0.28488141050363175,779.4552420305411,0.39191859489236786
6814728,1.3,MIS,BTH,MIS,MIS_BTH_MIS,0.19702610092740178,554.65302949054,0.27952387560162234
6814730,3.77,MIS,BTH,MIS,MIS_BTH_MIS,0.25575353091397146,720.2301455140406,0.3621395705719409
6814732,2.03,BTH,BTH,TRN,BTH_BTH_TRN,0.2823850878505842,690.4822930662762,0.3503866769866062
6814734,2.18,BTH,TRN,BTH,BTH_TRN_BTH,0.20767534056895592,572.2944492736497,0.2879995895982757
6814735,5.9,TRN,BTH,BTH,TRN_BTH_BTH,0.275322987803739,680.5068226758574,0.34792154898535893
6814738,3.9,BTH,MIS,BTH,BTH_MIS_BTH,0.26600591394128065,678.6271104166899,0.3469605117421397
6814746,5.78,BTH,BTH,TRN,BTH_BTH_TRN,0.25186691416768814,639.024268356518,0.323420522624775
6814747,0.98,TRN,BTH,MIS,TRN_BTH_MIS,0.16228076594551955,467.4243388789001,0.23447068462169704
6814751,0.84,MIS,BTH,MIS,MIS_BTH_MIS,0.22933034658751797,623.2470501372242,0.3126349023344036
